objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Bowling Zombies","88546","0","0","0","0","0","0","0","0","1","0","0","3","","Kids","","","","80013424","0","4.82273","1","0","92","thing","Bowling Zombies","1","1","15","15","15","2010","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brain Fart","267565","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130509314","5.50177","5.92273","0","25881","172","thing","Brain Fart","3","99","0","0","0","2018","2,3,4,5","4,5","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Brikks","257726","0","0","0","0","0","0","0","0","1","0","0","3","","Rating: Fair. 
GamePlay: PNP Tetris
Thought: Wasn't great. But not Bad.","","","","81002539","5.75583","6.26896","1.5833","5438","2252","thing","Brikks","1","4","30","30","20","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bring Your Own Book","173441","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39270093","5.83381","6.76266","1.0952","4501","2241","thing","Bring Your Own Book","3","8","20","20","20","2015","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bristol 1350","308989","0","0","0","1","0","0","0","0","0","0","0","3","","Book","","","","123734599","6.18829","6.87919","1.6441","2304","8242","thing","Bristol 1350","1","9","40","40","20","2021","4,5,6,7,8,9","6,7","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Broom Service","172308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80013001","6.86426","7.17434","2.3898","667","18053","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Broom Service: The Card Game","192735","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","62271303","5.66656","6.06068","1.4828","7152","3256","thing","Broom Service: The Card Game","3","6","30","30","15","2016","4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Builders: Middle Ages","144553","7.5","0","0","1","0","0","0","0","0","0","0","3","","Fun game","","","","32084702","6.12894","6.47022","1.8214","2547","7135","thing","The Builders: Middle Ages","2","4","30","30","30","2013","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bunco Party","18041","6","0","0","0","0","0","0","0","1","0","0","3","","I love bunco. Especially when you just roll for sixes. Makes it easier to socialize than to trying to remember what number you're on.","","","","32083089","5.39942","3.73","1.2222","31099","487","thing","Bunco Party","2","12","60","60","60","2004","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bunny Kingdom","184921","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80012984","7.10356","7.40461","2.2997","393","21707","thing","Bunny Kingdom","2","4","60","60","40","2017","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Butterfly Garden","116954","0","0","0","1","0","0","0","0","0","0","0","3","","Our Version is called Indigo","","","","106192962","6.31756","6.85206","1.4643","1833","5907","thing","Butterfly Garden","2","4","30","30","30","2012","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bye, Felicia!","313100","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130511507","5.53306","6.39882","1","16218","425","thing","Bye, Felicia!","3","8","20","20","20","2020","4,5,6,7,8","6","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Cable Car","58602","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60640087","5.91542","6.66864","1.8","3796","2050","thing","Cable Car","2","6","45","45","30","2009","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cafe Chaos","316625","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130511257","5.52773","6.25039","1.75","17477","685","thing","Cafe Chaos","3","8","60","60","30","2021","3,4,5,6,7,8","4,5","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up: Off Season","335271","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","105117008","5.69619","6.83943","2","6482","1706","thing","Camel Up: Off Season","3","5","45","45","45","2021","3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up: The Card Game","378848","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132670729","5.71312","6.76893","2.0588","6137","2242","thing","Camel Up: The Card Game","2","6","45","45","30","2023","2,3,4,5,6","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Campy Creatures","214396","0","1","0","1","0","0","0","0","0","0","0","3","","Game Play: Card. Bluffing
Our Rating: Good     
Thoughts: Simple. Maybe better more players. 
","","","","98478345","6.30668","7.00204","1.5806","1880","6872","thing","Campy Creatures","2","5","30","30","20","2017","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","80274411","7.28277","7.49553","2.2041","249","34463","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","7","0","0","1","0","0","0","0","0","0","0","3","","Love it!","","","","32083097","7.29897","7.41655","1.8838","240","227166","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Expansion 8 – Bridges, Castles and Bazaars","66646","6.5","0","0","1","0","0","0","0","0","0","0","3","","In main box","","","","32083108","6.3273","7.03767","2.0588","0","13059","thing","Carcassonne: Expansion 8 – Bridges, Castles and Bazaars","2","6","45","45","30","2010","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: The River","2591","0","0","0","1","0","0","0","0","0","0","0","3","","In main box","","","","33171518","6.7169","7.04239","1.6858","0","23856","thing","Carcassonne: The River","2","5","45","45","30","2001","2,3,4,5","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Traders & Builders","5405","0","0","0","1","0","0","0","0","0","0","0","3","","In main box","","","","33171565","7.32225","7.62486","2.0575","0","45226","thing","Carcassonne: Traders & Builders","2","6","60","60","60","2003","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Cardline: Animals","130882","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142571720","6.00106","6.54462","1.122","3204","4281","thing","Cardline: Animals","2","8","15","15","15","2012","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cardline: Globetrotter","145014","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109781556","5.70983","6.35111","1.375","6202","1847","thing","Cardline: Globetrotter","2","7","15","15","15","2013","2,3,4,5,6,7","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Humanity","50381","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","45816037","5.52546","5.69538","1.1704","18071","57340","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Humanity: Absurd Box","265853","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130511850","5.59298","6.59949","1","0","1953","thing","Cards Against Humanity: Absurd Box","4","30","30","30","30","2018","3,4,5,6,7,8,9,10","6","16","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cards Against Humanity: Everything Box","344346","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","141476334","5.53922","6.775","0","0","797","thing","Cards Against Humanity: Everything Box","4","30","30","0","30","2021","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Cards Against Humanity: Family Edition","317367","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130510404","5.56552","6.08693","1","11858","1735","thing","Cards Against Humanity: Family Edition","4","30","30","30","30","2020","4,5,6,7,8","5,6","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Caribbean Pirates Dice Game","139640","0","0","0","0","0","0","0","0","1","0","0","3","","our version is under Pirates of the Caribbean Dead Man's Chest Pirate Dice","","","","32084265","5.5077","6.05806","0","24012","119","thing","Caribbean Pirates Dice Game","2","5","10","10","10","2013","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartagena 2. The Pirate's Nest","25823","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","53491817","5.77211","6.46398","1.5556","5187","1385","thing","Cartagena 2. The Pirate's Nest","2","5","45","45","45","2006","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","77566786","7.38513","7.54811","1.8914","185","63769","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia","295947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","105116970","7.73025","7.88225","1.8428","61","96322","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castellan","114903","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083111","5.70675","6.21174","1.4444","6254","2648","thing","Castellan","2","2","45","45","30","2013","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castellion","143404","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36796450","6.1411","6.86205","2.1096","2495","5287","thing","Castellion","1","2","30","30","30","2015","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Casting Shadows","359502","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","121479847","5.73781","6.27526","2.2581","5704","5457","thing","Casting Shadows","2","4","60","60","30","2023","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Keep","17855","6","0","0","0","0","0","0","0","1","0","0","3","","Kids   Fun little game","","","","32083121","5.52232","5.63905","1.2125","19008","1735","thing","Castle Keep","1","4","20","20","20","2005","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","5","0","0","1","0","0","0","0","0","0","0","3","","I don't like this game.","","","","32083134","6.46314","6.65535","1.6565","1432","31338","thing","Castle Panic","1","6","60","60","30","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Risk","2557","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","33171733","5.48127","5.52516","1.9848","29573","2592","thing","Castle Risk","2","6","120","120","120","1986","4,5,6","6","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
